,reference_distance,mesured_distance,signal_strength,delta
0,2.991,3.16,-79.68,0.16900000000000004
1,2.991,3.15,-80.35,0.1589999999999998
2,2.991,3.12,-80.13,0.129
3,2.991,3.27,-80.42,0.2789999999999999
4,2.991,3.13,-80.65,0.1389999999999998
5,2.991,3.18,-80.76,0.18900000000000006
6,2.991,3.27,-80.33,0.2789999999999999
7,2.991,3.13,-79.89,0.1389999999999998
8,2.991,3.13,-80.01,0.1389999999999998
9,2.991,3.07,-80.21,0.07899999999999974
10,2.991,3.16,-80.13,0.16900000000000004
11,2.991,3.14,-79.96,0.14900000000000002
12,2.991,3.19,-80.03,0.19899999999999984
13,2.991,3.19,-80.16,0.19899999999999984
14,2.991,3.21,-80.08,0.21899999999999986
15,2.991,3.17,-79.95,0.17899999999999983
16,2.991,3.15,-79.88,0.1589999999999998
17,2.991,3.05,-80.24,0.05899999999999972
18,2.991,3.21,-79.86,0.21899999999999986
19,2.991,3.2,-80.29,0.20900000000000007
20,2.991,3.05,-80.31,0.05899999999999972
21,2.991,3.17,-79.85,0.17899999999999983
22,2.991,3.11,-79.62,0.11899999999999977
23,2.991,3.16,-80.23,0.16900000000000004
24,2.991,3.24,-79.88,0.2490000000000001
25,2.991,3.17,-79.77,0.17899999999999983
26,2.991,3.1,-79.86,0.10899999999999999
27,2.991,3.18,-79.85,0.18900000000000006
28,2.991,3.24,-79.81,0.2490000000000001
29,2.991,3.16,-79.73,0.16900000000000004
